ECM Glycoproteins	Collagens	Proteoglycans	ECM-affiliated Proteins	ECM Regulators	Secreted Factors
LTBP1	1	0.001	0.001	0.001	0.001	0.001
LTBP2	1	0.001	0.001	0.001	0.001	0.001
LTBP3	1	0.001	0.001	0.001	0.001	0.001
LTBP4	1	0.001	0.001	0.001	0.001	0.001
MATN1	1	0.001	0.001	0.001	0.001	0.001
MATN2	1	0.001	0.001	0.001	0.001	0.001
MATN3	1	0.001	0.001	0.001	0.001	0.001
MATN4	1	0.001	0.001	0.001	0.001	0.001
MEPE	1	0.001	0.001	0.001	0.001	0.001
MFAP1	1	0.001	0.001	0.001	0.001	0.001
MFAP2	1	0.001	0.001	0.001	0.001	0.001
MFAP3	1	0.001	0.001	0.001	0.001	0.001
MFAP4	1	0.001	0.001	0.001	0.001	0.001
MFAP5	1	0.001	0.001	0.001	0.001	0.001
MFGE8	1	0.001	0.001	0.001	0.001	0.001
MGP	1	0.001	0.001	0.001	0.001	0.001
MMRN1	1	0.001	0.001	0.001	0.001	0.001
MMRN2	1	0.001	0.001	0.001	0.001	0.001
MXRA5	1	0.001	0.001	0.001	0.001	0.001
NDNF	1	0.001	0.001	0.001	0.001	0.001
NELL1	1	0.001	0.001	0.001	0.001	0.001
NELL2	1	0.001	0.001	0.001	0.001	0.001
NID1	1	0.001	0.001	0.001	0.001	0.001
NID2	1	0.001	0.001	0.001	0.001	0.001
NOV	1	0.001	0.001	0.001	0.001	0.001
NPNT	1	0.001	0.001	0.001	0.001	0.001
NTN1	1	0.001	0.001	0.001	0.001	0.001
NTN3	1	0.001	0.001	0.001	0.001	0.001
NTN4	1	0.001	0.001	0.001	0.001	0.001
NTN5	1	0.001	0.001	0.001	0.001	0.001
NTNG1	1	0.001	0.001	0.001	0.001	0.001
NTNG2	1	0.001	0.001	0.001	0.001	0.001
OIT3	1	0.001	0.001	0.001	0.001	0.001
OTOG	1	0.001	0.001	0.001	0.001	0.001
OTOL1	1	0.001	0.001	0.001	0.001	0.001
PAPLN	1	0.001	0.001	0.001	0.001	0.001
PCOLCE	1	0.001	0.001	0.001	0.001	0.001
PCOLCE2	1	0.001	0.001	0.001	0.001	0.001
POMZP3	1	0.001	0.001	0.001	0.001	0.001
POSTN	1	0.001	0.001	0.001	0.001	0.001
PXDN	1	0.001	0.001	0.001	0.001	0.001
PXDNL	1	0.001	0.001	0.001	0.001	0.001
RELN	1	0.001	0.001	0.001	0.001	0.001
RSPO1	1	0.001	0.001	0.001	0.001	0.001
RSPO2	1	0.001	0.001	0.001	0.001	0.001
RSPO3	1	0.001	0.001	0.001	0.001	0.001
RSPO4	1	0.001	0.001	0.001	0.001	0.001
SBSPON	1	0.001	0.001	0.001	0.001	0.001
SLIT1	1	0.001	0.001	0.001	0.001	0.001
SLIT2	1	0.001	0.001	0.001	0.001	0.001
SLIT3	1	0.001	0.001	0.001	0.001	0.001
SMOC1	1	0.001	0.001	0.001	0.001	0.001
SMOC2	1	0.001	0.001	0.001	0.001	0.001
SNED1	1	0.001	0.001	0.001	0.001	0.001
SPARC	1	0.001	0.001	0.001	0.001	0.001
SPARCL1	1	0.001	0.001	0.001	0.001	0.001
SPON1	1	0.001	0.001	0.001	0.001	0.001
SPON2	1	0.001	0.001	0.001	0.001	0.001
SPP1	1	0.001	0.001	0.001	0.001	0.001
SRPX	1	0.001	0.001	0.001	0.001	0.001
SRPX2	1	0.001	0.001	0.001	0.001	0.001
SSPO	1	0.001	0.001	0.001	0.001	0.001
SVEP1	1	0.001	0.001	0.001	0.001	0.001
TECTA	1	0.001	0.001	0.001	0.001	0.001
TECTB	1	0.001	0.001	0.001	0.001	0.001
TGFBI	1	0.001	0.001	0.001	0.001	0.001
THBS1	1	0.001	0.001	0.001	0.001	0.001
THBS2	1	0.001	0.001	0.001	0.001	0.001
THBS3	1	0.001	0.001	0.001	0.001	0.001
THBS4	1	0.001	0.001	0.001	0.001	0.001
THSD4	1	0.001	0.001	0.001	0.001	0.001
TINAG	1	0.001	0.001	0.001	0.001	0.001
TINAGL1	1	0.001	0.001	0.001	0.001	0.001
TNC	1	0.001	0.001	0.001	0.001	0.001
TNFAIP6	1	0.001	0.001	0.001	0.001	0.001
TNN	1	0.001	0.001	0.001	0.001	0.001
TNR	1	0.001	0.001	0.001	0.001	0.001
TNXB	1	0.001	0.001	0.001	0.001	0.001
TSKU	1	0.001	0.001	0.001	0.001	0.001
TSPEAR	1	0.001	0.001	0.001	0.001	0.001
VIT	1	0.001	0.001	0.001	0.001	0.001
VTN	1	0.001	0.001	0.001	0.001	0.001
VWA1	1	0.001	0.001	0.001	0.001	0.001
VWA2	1	0.001	0.001	0.001	0.001	0.001
VWA3A	1	0.001	0.001	0.001	0.001	0.001
VWA3B	1	0.001	0.001	0.001	0.001	0.001
VWA5A	1	0.001	0.001	0.001	0.001	0.001
VWA5B1	1	0.001	0.001	0.001	0.001	0.001
VWA5B2	1	0.001	0.001	0.001	0.001	0.001
VWA7	1	0.001	0.001	0.001	0.001	0.001
VWA9	1	0.001	0.001	0.001	0.001	0.001
VWCE	1	0.001	0.001	0.001	0.001	0.001
VWDE	1	0.001	0.001	0.001	0.001	0.001
VWF	1	0.001	0.001	0.001	0.001	0.001
WISP1	1	0.001	0.001	0.001	0.001	0.001
WISP2	1	0.001	0.001	0.001	0.001	0.001
WISP3	1	0.001	0.001	0.001	0.001	0.001
ZP1	1	0.001	0.001	0.001	0.001	0.001
ZP2	1	0.001	0.001	0.001	0.001	0.001
ZP3	1	0.001	0.001	0.001	0.001	0.001
ZP4	1	0.001	0.001	0.001	0.001	0.001
ZPLD1	1	0.001	0.001	0.001	0.001	0.001
COL10A1	0.001	1	0.001	0.001	0.001	0.001
COL11A1	0.001	1	0.001	0.001	0.001	0.001
COL11A2	0.001	1	0.001	0.001	0.001	0.001
COL12A1	0.001	1	0.001	0.001	0.001	0.001
COL13A1	0.001	1	0.001	0.001	0.001	0.001
COL14A1	0.001	1	0.001	0.001	0.001	0.001
COL15A1	0.001	1	0.001	0.001	0.001	0.001
COL16A1	0.001	1	0.001	0.001	0.001	0.001
COL17A1	0.001	1	0.001	0.001	0.001	0.001
COL18A1	0.001	1	0.001	0.001	0.001	0.001
COL19A1	0.001	1	0.001	0.001	0.001	0.001
COL1A1	0.001	1	0.001	0.001	0.001	0.001
COL1A2	0.001	1	0.001	0.001	0.001	0.001
COL20A1	0.001	1	0.001	0.001	0.001	0.001
COL21A1	0.001	1	0.001	0.001	0.001	0.001
COL22A1	0.001	1	0.001	0.001	0.001	0.001
COL23A1	0.001	1	0.001	0.001	0.001	0.001
COL24A1	0.001	1	0.001	0.001	0.001	0.001
COL25A1	0.001	1	0.001	0.001	0.001	0.001
COL26A1	0.001	1	0.001	0.001	0.001	0.001
COL27A1	0.001	1	0.001	0.001	0.001	0.001
COL28A1	0.001	1	0.001	0.001	0.001	0.001
COL2A1	0.001	1	0.001	0.001	0.001	0.001
COL3A1	0.001	1	0.001	0.001	0.001	0.001
COL4A1	0.001	1	0.001	0.001	0.001	0.001
COL4A2	0.001	1	0.001	0.001	0.001	0.001
COL4A3	0.001	1	0.001	0.001	0.001	0.001
COL4A4	0.001	1	0.001	0.001	0.001	0.001
COL4A5	0.001	1	0.001	0.001	0.001	0.001
COL4A6	0.001	1	0.001	0.001	0.001	0.001
COL5A1	0.001	1	0.001	0.001	0.001	0.001
COL5A2	0.001	1	0.001	0.001	0.001	0.001
COL5A3	0.001	1	0.001	0.001	0.001	0.001
COL6A1	0.001	1	0.001	0.001	0.001	0.001
COL6A2	0.001	1	0.001	0.001	0.001	0.001
COL6A3	0.001	1	0.001	0.001	0.001	0.001
COL6A5	0.001	1	0.001	0.001	0.001	0.001
COL6A6	0.001	1	0.001	0.001	0.001	0.001
COL7A1	0.001	1	0.001	0.001	0.001	0.001
COL8A1	0.001	1	0.001	0.001	0.001	0.001
COL8A2	0.001	1	0.001	0.001	0.001	0.001
COL9A1	0.001	1	0.001	0.001	0.001	0.001
COL9A2	0.001	1	0.001	0.001	0.001	0.001
COL9A3	0.001	1	0.001	0.001	0.001	0.001
ACAN	0.001	0.001	1	0.001	0.001	0.001
ASPN	0.001	0.001	1	0.001	0.001	0.001
BCAN	0.001	0.001	1	0.001	0.001	0.001
BGN	0.001	0.001	1	0.001	0.001	0.001
CHAD	0.001	0.001	1	0.001	0.001	0.001
CHADL	0.001	0.001	1	0.001	0.001	0.001
DCN	0.001	0.001	1	0.001	0.001	0.001
EPYC	0.001	0.001	1	0.001	0.001	0.001
ESM1	0.001	0.001	1	0.001	0.001	0.001
FMOD	0.001	0.001	1	0.001	0.001	0.001
HAPLN1	0.001	0.001	1	0.001	0.001	0.001
HAPLN2	0.001	0.001	1	0.001	0.001	0.001
HAPLN3	0.001	0.001	1	0.001	0.001	0.001
HAPLN4	0.001	0.001	1	0.001	0.001	0.001
HSPG2	0.001	0.001	1	0.001	0.001	0.001
IMPG1	0.001	0.001	1	0.001	0.001	0.001
IMPG2	0.001	0.001	1	0.001	0.001	0.001
KERA	0.001	0.001	1	0.001	0.001	0.001
LUM	0.001	0.001	1	0.001	0.001	0.001
NCAN	0.001	0.001	1	0.001	0.001	0.001
NYX	0.001	0.001	1	0.001	0.001	0.001
OGN	0.001	0.001	1	0.001	0.001	0.001
OMD	0.001	0.001	1	0.001	0.001	0.001
OPTC	0.001	0.001	1	0.001	0.001	0.001
PODN	0.001	0.001	1	0.001	0.001	0.001
PODNL1	0.001	0.001	1	0.001	0.001	0.001
PRELP	0.001	0.001	1	0.001	0.001	0.001
PRG2	0.001	0.001	1	0.001	0.001	0.001
PRG3	0.001	0.001	1	0.001	0.001	0.001
PRG4	0.001	0.001	1	0.001	0.001	0.001
SPOCK1	0.001	0.001	1	0.001	0.001	0.001
SPOCK2	0.001	0.001	1	0.001	0.001	0.001
SPOCK3	0.001	0.001	1	0.001	0.001	0.001
SRGN	0.001	0.001	1	0.001	0.001	0.001
VCAN	0.001	0.001	1	0.001	0.001	0.001
ANXA1	0.001	0.001	0.001	1	0.001	0.001
ANXA10	0.001	0.001	0.001	1	0.001	0.001
ANXA11	0.001	0.001	0.001	1	0.001	0.001
ANXA13	0.001	0.001	0.001	1	0.001	0.001
ANXA2	0.001	0.001	0.001	1	0.001	0.001
ANXA3	0.001	0.001	0.001	1	0.001	0.001
ANXA4	0.001	0.001	0.001	1	0.001	0.001
ANXA5	0.001	0.001	0.001	1	0.001	0.001
ANXA6	0.001	0.001	0.001	1	0.001	0.001
ANXA7	0.001	0.001	0.001	1	0.001	0.001
ANXA8	0.001	0.001	0.001	1	0.001	0.001
ANXA8L1	0.001	0.001	0.001	1	0.001	0.001
ANXA9	0.001	0.001	0.001	1	0.001	0.001
C1QA	0.001	0.001	0.001	1	0.001	0.001
C1QB	0.001	0.001	0.001	1	0.001	0.001
C1QC	0.001	0.001	0.001	1	0.001	0.001
C1QL1	0.001	0.001	0.001	1	0.001	0.001
C1QL2	0.001	0.001	0.001	1	0.001	0.001
C1QL3	0.001	0.001	0.001	1	0.001	0.001
C1QL4	0.001	0.001	0.001	1	0.001	0.001
C1QTNF1	0.001	0.001	0.001	1	0.001	0.001
C1QTNF2	0.001	0.001	0.001	1	0.001	0.001
C1QTNF3	0.001	0.001	0.001	1	0.001	0.001
C1QTNF4	0.001	0.001	0.001	1	0.001	0.001
C1QTNF5	0.001	0.001	0.001	1	0.001	0.001
C1QTNF6	0.001	0.001	0.001	1	0.001	0.001
C1QTNF7	0.001	0.001	0.001	1	0.001	0.001
C1QTNF8	0.001	0.001	0.001	1	0.001	0.001
C1QTNF9	0.001	0.001	0.001	1	0.001	0.001
CD209	0.001	0.001	0.001	1	0.001	0.001
CLC	0.001	0.001	0.001	1	0.001	0.001
CLEC10A	0.001	0.001	0.001	1	0.001	0.001
CLEC11A	0.001	0.001	0.001	1	0.001	0.001
CLEC12A	0.001	0.001	0.001	1	0.001	0.001
CLEC12B	0.001	0.001	0.001	1	0.001	0.001
CLEC14A	0.001	0.001	0.001	1	0.001	0.001
CLEC17A	0.001	0.001	0.001	1	0.001	0.001
CLEC18A	0.001	0.001	0.001	1	0.001	0.001
CLEC18B	0.001	0.001	0.001	1	0.001	0.001
CLEC18C	0.001	0.001	0.001	1	0.001	0.001
CLEC19A	0.001	0.001	0.001	1	0.001	0.001
CLEC1A	0.001	0.001	0.001	1	0.001	0.001
CLEC1B	0.001	0.001	0.001	1	0.001	0.001
CLEC2A	0.001	0.001	0.001	1	0.001	0.001
CLEC2B	0.001	0.001	0.001	1	0.001	0.001
CLEC2D	0.001	0.001	0.001	1	0.001	0.001
CLEC2L	0.001	0.001	0.001	1	0.001	0.001
CLEC3A	0.001	0.001	0.001	1	0.001	0.001
CLEC3B	0.001	0.001	0.001	1	0.001	0.001
CLEC4A	0.001	0.001	0.001	1	0.001	0.001
CLEC4C	0.001	0.001	0.001	1	0.001	0.001
CLEC4D	0.001	0.001	0.001	1	0.001	0.001
CLEC4E	0.001	0.001	0.001	1	0.001	0.001
CLEC4F	0.001	0.001	0.001	1	0.001	0.001
CLEC4G	0.001	0.001	0.001	1	0.001	0.001
CLEC4M	0.001	0.001	0.001	1	0.001	0.001
CLEC5A	0.001	0.001	0.001	1	0.001	0.001
CLEC6A	0.001	0.001	0.001	1	0.001	0.001
CLEC7A	0.001	0.001	0.001	1	0.001	0.001
CLEC9A	0.001	0.001	0.001	1	0.001	0.001
COLEC10	0.001	0.001	0.001	1	0.001	0.001
COLEC11	0.001	0.001	0.001	1	0.001	0.001
COLEC12	0.001	0.001	0.001	1	0.001	0.001
CSPG4	0.001	0.001	0.001	1	0.001	0.001
CSPG5	0.001	0.001	0.001	1	0.001	0.001
ELFN1	0.001	0.001	0.001	1	0.001	0.001
ELFN2	0.001	0.001	0.001	1	0.001	0.001
EMCN	0.001	0.001	0.001	1	0.001	0.001
FCN1	0.001	0.001	0.001	1	0.001	0.001
FCN2	0.001	0.001	0.001	1	0.001	0.001
FCN3	0.001	0.001	0.001	1	0.001	0.001
FREM1	0.001	0.001	0.001	1	0.001	0.001
FREM2	0.001	0.001	0.001	1	0.001	0.001
FREM3	0.001	0.001	0.001	1	0.001	0.001
GPC1	0.001	0.001	0.001	1	0.001	0.001
GPC2	0.001	0.001	0.001	1	0.001	0.001
GPC3	0.001	0.001	0.001	1	0.001	0.001
GPC4	0.001	0.001	0.001	1	0.001	0.001
GPC5	0.001	0.001	0.001	1	0.001	0.001
GPC6	0.001	0.001	0.001	1	0.001	0.001
GREM1	0.001	0.001	0.001	1	0.001	0.001
GRIFIN	0.001	0.001	0.001	1	0.001	0.001
HPX	0.001	0.001	0.001	1	0.001	0.001
HSPC159	0.001	0.001	0.001	1	0.001	0.001
ITLN1	0.001	0.001	0.001	1	0.001	0.001
ITLN2	0.001	0.001	0.001	1	0.001	0.001
LGALS1	0.001	0.001	0.001	1	0.001	0.001
LGALS12	0.001	0.001	0.001	1	0.001	0.001
LGALS13	0.001	0.001	0.001	1	0.001	0.001
LGALS14	0.001	0.001	0.001	1	0.001	0.001
LGALS16	0.001	0.001	0.001	1	0.001	0.001
LGALS2	0.001	0.001	0.001	1	0.001	0.001
LGALS3	0.001	0.001	0.001	1	0.001	0.001
LGALS4	0.001	0.001	0.001	1	0.001	0.001
LGALS7	0.001	0.001	0.001	1	0.001	0.001
LGALS8	0.001	0.001	0.001	1	0.001	0.001
LGALS9	0.001	0.001	0.001	1	0.001	0.001
LGALS9B	0.001	0.001	0.001	1	0.001	0.001
LGALS9C	0.001	0.001	0.001	1	0.001	0.001
LMAN1	0.001	0.001	0.001	1	0.001	0.001
LMAN1L	0.001	0.001	0.001	1	0.001	0.001
MBL2	0.001	0.001	0.001	1	0.001	0.001
MUC1	0.001	0.001	0.001	1	0.001	0.001
MUC12	0.001	0.001	0.001	1	0.001	0.001
MUC13	0.001	0.001	0.001	1	0.001	0.001
MUC15	0.001	0.001	0.001	1	0.001	0.001
MUC16	0.001	0.001	0.001	1	0.001	0.001
MUC17	0.001	0.001	0.001	1	0.001	0.001
MUC19	0.001	0.001	0.001	1	0.001	0.001
MUC2	0.001	0.001	0.001	1	0.001	0.001
MUC20	0.001	0.001	0.001	1	0.001	0.001
MUC21	0.001	0.001	0.001	1	0.001	0.001
MUC22	0.001	0.001	0.001	1	0.001	0.001
MUC3A	0.001	0.001	0.001	1	0.001	0.001
MUC4	0.001	0.001	0.001	1	0.001	0.001
MUC5AC	0.001	0.001	0.001	1	0.001	0.001
MUC5B	0.001	0.001	0.001	1	0.001	0.001
MUC6	0.001	0.001	0.001	1	0.001	0.001
MUC7	0.001	0.001	0.001	1	0.001	0.001
MUC8	0.001	0.001	0.001	1	0.001	0.001
MUCL1	0.001	0.001	0.001	1	0.001	0.001
OVGP1	0.001	0.001	0.001	1	0.001	0.001
PARM1	0.001	0.001	0.001	1	0.001	0.001
PLXDC1	0.001	0.001	0.001	1	0.001	0.001
PLXDC2	0.001	0.001	0.001	1	0.001	0.001
PLXNA1	0.001	0.001	0.001	1	0.001	0.001
PLXNA2	0.001	0.001	0.001	1	0.001	0.001
PLXNA3	0.001	0.001	0.001	1	0.001	0.001
PLXNA4	0.001	0.001	0.001	1	0.001	0.001
PLXNB1	0.001	0.001	0.001	1	0.001	0.001
PLXNB2	0.001	0.001	0.001	1	0.001	0.001
PLXNB3	0.001	0.001	0.001	1	0.001	0.001
PLXNC1	0.001	0.001	0.001	1	0.001	0.001
PLXND1	0.001	0.001	0.001	1	0.001	0.001
PROL1	0.001	0.001	0.001	1	0.001	0.001
REG1A	0.001	0.001	0.001	1	0.001	0.001
REG1B	0.001	0.001	0.001	1	0.001	0.001
REG3A	0.001	0.001	0.001	1	0.001	0.001
REG3G	0.001	0.001	0.001	1	0.001	0.001
REG4	0.001	0.001	0.001	1	0.001	0.001
SDC1	0.001	0.001	0.001	1	0.001	0.001
SDC2	0.001	0.001	0.001	1	0.001	0.001
SDC3	0.001	0.001	0.001	1	0.001	0.001
SDC4	0.001	0.001	0.001	1	0.001	0.001
SEMA3A	0.001	0.001	0.001	1	0.001	0.001
SEMA3B	0.001	0.001	0.001	1	0.001	0.001
SEMA3C	0.001	0.001	0.001	1	0.001	0.001
SEMA3D	0.001	0.001	0.001	1	0.001	0.001
SEMA3E	0.001	0.001	0.001	1	0.001	0.001
SEMA3F	0.001	0.001	0.001	1	0.001	0.001
SEMA3G	0.001	0.001	0.001	1	0.001	0.001
SEMA4A	0.001	0.001	0.001	1	0.001	0.001
SEMA4B	0.001	0.001	0.001	1	0.001	0.001
SEMA4C	0.001	0.001	0.001	1	0.001	0.001
SEMA4D	0.001	0.001	0.001	1	0.001	0.001
SEMA4F	0.001	0.001	0.001	1	0.001	0.001
SEMA4G	0.001	0.001	0.001	1	0.001	0.001
SEMA5A	0.001	0.001	0.001	1	0.001	0.001
SEMA5B	0.001	0.001	0.001	1	0.001	0.001
SEMA6A	0.001	0.001	0.001	1	0.001	0.001
SEMA6B	0.001	0.001	0.001	1	0.001	0.001
SEMA6C	0.001	0.001	0.001	1	0.001	0.001
SEMA6D	0.001	0.001	0.001	1	0.001	0.001
SEMA7A	0.001	0.001	0.001	1	0.001	0.001
SFTA2	0.001	0.001	0.001	1	0.001	0.001
SFTA3	0.001	0.001	0.001	1	0.001	0.001
SFTPA1	0.001	0.001	0.001	1	0.001	0.001
SFTPA2	0.001	0.001	0.001	1	0.001	0.001
SFTPB	0.001	0.001	0.001	1	0.001	0.001
SFTPC	0.001	0.001	0.001	1	0.001	0.001
SFTPD	0.001	0.001	0.001	1	0.001	0.001
A2M	0.001	0.001	0.001	0.001	1	0.001
A2ML1	0.001	0.001	0.001	0.001	1	0.001
ADAM10	0.001	0.001	0.001	0.001	1	0.001
ADAM11	0.001	0.001	0.001	0.001	1	0.001
ADAM12	0.001	0.001	0.001	0.001	1	0.001
ADAM15	0.001	0.001	0.001	0.001	1	0.001
ADAM17	0.001	0.001	0.001	0.001	1	0.001
ADAM18	0.001	0.001	0.001	0.001	1	0.001
ADAM19	0.001	0.001	0.001	0.001	1	0.001
ADAM2	0.001	0.001	0.001	0.001	1	0.001
ADAM20	0.001	0.001	0.001	0.001	1	0.001
ADAM21	0.001	0.001	0.001	0.001	1	0.001
ADAM22	0.001	0.001	0.001	0.001	1	0.001
ADAM23	0.001	0.001	0.001	0.001	1	0.001
ADAM28	0.001	0.001	0.001	0.001	1	0.001
ADAM29	0.001	0.001	0.001	0.001	1	0.001
ADAM30	0.001	0.001	0.001	0.001	1	0.001
ADAM32	0.001	0.001	0.001	0.001	1	0.001
ADAM33	0.001	0.001	0.001	0.001	1	0.001
ADAM7	0.001	0.001	0.001	0.001	1	0.001
ADAM8	0.001	0.001	0.001	0.001	1	0.001
ADAM9	0.001	0.001	0.001	0.001	1	0.001
ADAMDEC1	0.001	0.001	0.001	0.001	1	0.001
ADAMTS1	0.001	0.001	0.001	0.001	1	0.001
ADAMTS10	0.001	0.001	0.001	0.001	1	0.001
ADAMTS12	0.001	0.001	0.001	0.001	1	0.001
ADAMTS13	0.001	0.001	0.001	0.001	1	0.001
ADAMTS14	0.001	0.001	0.001	0.001	1	0.001
ADAMTS15	0.001	0.001	0.001	0.001	1	0.001
ADAMTS16	0.001	0.001	0.001	0.001	1	0.001
ADAMTS17	0.001	0.001	0.001	0.001	1	0.001
ADAMTS18	0.001	0.001	0.001	0.001	1	0.001
ADAMTS19	0.001	0.001	0.001	0.001	1	0.001
ADAMTS2	0.001	0.001	0.001	0.001	1	0.001
ADAMTS20	0.001	0.001	0.001	0.001	1	0.001
ADAMTS3	0.001	0.001	0.001	0.001	1	0.001
ADAMTS4	0.001	0.001	0.001	0.001	1	0.001
ADAMTS5	0.001	0.001	0.001	0.001	1	0.001
ADAMTS6	0.001	0.001	0.001	0.001	1	0.001
ADAMTS7	0.001	0.001	0.001	0.001	1	0.001
ADAMTS8	0.001	0.001	0.001	0.001	1	0.001
ADAMTS9	0.001	0.001	0.001	0.001	1	0.001
ADAMTSL1	0.001	0.001	0.001	0.001	1	0.001
ADAMTSL2	0.001	0.001	0.001	0.001	1	0.001
ADAMTSL3	0.001	0.001	0.001	0.001	1	0.001
ADAMTSL4	0.001	0.001	0.001	0.001	1	0.001
ADAMTSL5	0.001	0.001	0.001	0.001	1	0.001
AGT	0.001	0.001	0.001	0.001	1	0.001
AMBP	0.001	0.001	0.001	0.001	1	0.001
ASTL	0.001	0.001	0.001	0.001	1	0.001
BMP1	0.001	0.001	0.001	0.001	1	0.001
C17orf58	0.001	0.001	0.001	0.001	1	0.001
