"cellType" "correlation" "tissue" "disease" "mrna.algorithm" "prot.algorithm" "matrix" "algorithm"
"DC" 0.386948583278859 "tumor" "ccrcc" "mcpcounter" "epic" "LM9" "mcpcounter-epic"
"Basophil" 0.0534634718120957 "tumor" "ccrcc" "mcpcounter" "epic" "LM9" "mcpcounter-epic"
"Eosinophil" -0.264982079660979 "tumor" "ccrcc" "mcpcounter" "epic" "LM9" "mcpcounter-epic"
"Neutrophil" -0.00287176250479003 "tumor" "ccrcc" "mcpcounter" "epic" "LM9" "mcpcounter-epic"
"MO" 0.186565381060794 "tumor" "ccrcc" "mcpcounter" "epic" "LM9" "mcpcounter-epic"
"NK" 0.410535806866082 "tumor" "ccrcc" "mcpcounter" "epic" "LM9" "mcpcounter-epic"
"B.cells" 0.389010989010989 "normal" "endometrial" "epic" "mcpcounter" "LM9" "epic-mcpcounter"
"T4.cells" 0.0417582417582418 "normal" "endometrial" "epic" "mcpcounter" "LM9" "epic-mcpcounter"
"T8.cells" -0.208791208791209 "normal" "endometrial" "epic" "mcpcounter" "LM9" "epic-mcpcounter"
"DC" 0.569230769230769 "normal" "endometrial" "epic" "mcpcounter" "LM9" "epic-mcpcounter"
"Basophil" -0.0373626373626374 "normal" "endometrial" "epic" "mcpcounter" "LM9" "epic-mcpcounter"
"Eosinophil" 0.283516483516484 "normal" "endometrial" "epic" "mcpcounter" "LM9" "epic-mcpcounter"
"Neutrophil" 0.0285714285714286 "normal" "endometrial" "epic" "mcpcounter" "LM9" "epic-mcpcounter"
"MO" 0.23956043956044 "normal" "endometrial" "epic" "mcpcounter" "LM9" "epic-mcpcounter"
"NK" 0.49010989010989 "normal" "endometrial" "epic" "mcpcounter" "LM9" "epic-mcpcounter"
"B.cells" 0.506718924972004 "tumor" "endometrial" "epic" "mcpcounter" "LM9" "epic-mcpcounter"
"T4.cells" -0.357376819708847 "tumor" "endometrial" "epic" "mcpcounter" "LM9" "epic-mcpcounter"
"T8.cells" -0.0591965285554311 "tumor" "endometrial" "epic" "mcpcounter" "LM9" "epic-mcpcounter"
"DC" 0.0114921612541993 "tumor" "endometrial" "epic" "mcpcounter" "LM9" "epic-mcpcounter"
"Basophil" 0.564305711086226 "tumor" "endometrial" "epic" "mcpcounter" "LM9" "epic-mcpcounter"
"Eosinophil" 0.261436170212766 "tumor" "endometrial" "epic" "mcpcounter" "LM9" "epic-mcpcounter"
"Neutrophil" 0.703303471444569 "tumor" "endometrial" "epic" "mcpcounter" "LM9" "epic-mcpcounter"
"MO" 0.0401735722284434 "tumor" "endometrial" "epic" "mcpcounter" "LM9" "epic-mcpcounter"
"NK" 0.413437849944009 "tumor" "endometrial" "epic" "mcpcounter" "LM9" "epic-mcpcounter"
"B.cells" 0.402475106685633 "normal" "ccrcc" "epic" "mcpcounter" "LM9" "epic-mcpcounter"
"T4.cells" -0.0439260312944523 "normal" "ccrcc" "epic" "mcpcounter" "LM9" "epic-mcpcounter"
"T8.cells" 0.236586059743954 "normal" "ccrcc" "epic" "mcpcounter" "LM9" "epic-mcpcounter"
"DC" 0.243157894736842 "normal" "ccrcc" "epic" "mcpcounter" "LM9" "epic-mcpcounter"
"Basophil" -0.190412517780939 "normal" "ccrcc" "epic" "mcpcounter" "LM9" "epic-mcpcounter"
"Eosinophil" 0.275362731152205 "normal" "ccrcc" "epic" "mcpcounter" "LM9" "epic-mcpcounter"
"Neutrophil" 0.182418207681366 "normal" "ccrcc" "epic" "mcpcounter" "LM9" "epic-mcpcounter"
"MO" 0.175277382645804 "normal" "ccrcc" "epic" "mcpcounter" "LM9" "epic-mcpcounter"
"NK" 0.569189189189189 "normal" "ccrcc" "epic" "mcpcounter" "LM9" "epic-mcpcounter"
"B.cells" 0.355904695354237 "tumor" "ccrcc" "epic" "mcpcounter" "LM9" "epic-mcpcounter"
"T4.cells" 0.203254964722855 "tumor" "ccrcc" "epic" "mcpcounter" "LM9" "epic-mcpcounter"
"T8.cells" 0.415684241372315 "tumor" "ccrcc" "epic" "mcpcounter" "LM9" "epic-mcpcounter"
"DC" 0.490449248247413 "tumor" "ccrcc" "epic" "mcpcounter" "LM9" "epic-mcpcounter"
"Basophil" 0.305258886910263 "tumor" "ccrcc" "epic" "mcpcounter" "LM9" "epic-mcpcounter"
"Eosinophil" 0.0267745643892433 "tumor" "ccrcc" "epic" "mcpcounter" "LM9" "epic-mcpcounter"
"Neutrophil" 0.318143497960012 "tumor" "ccrcc" "epic" "mcpcounter" "LM9" "epic-mcpcounter"
"MO" 0.518950476748642 "tumor" "ccrcc" "epic" "mcpcounter" "LM9" "epic-mcpcounter"
"NK" 0.561661745147984 "tumor" "ccrcc" "epic" "mcpcounter" "LM9" "epic-mcpcounter"
"B.cells" 0.032967032967033 "normal" "endometrial" "epic" "epic" "LM9" "epic-epic"
"T4.cells" -0.217582417582418 "normal" "endometrial" "epic" "epic" "LM9" "epic-epic"
"T8.cells" -0.265934065934066 "normal" "endometrial" "epic" "epic" "LM9" "epic-epic"
"DC" -0.138461538461538 "normal" "endometrial" "epic" "epic" "LM9" "epic-epic"
"Basophil" -0.331868131868132 "normal" "endometrial" "epic" "epic" "LM9" "epic-epic"
"Eosinophil" 0.134065934065934 "normal" "endometrial" "epic" "epic" "LM9" "epic-epic"
"Neutrophil" -0.032967032967033 "normal" "endometrial" "epic" "epic" "LM9" "epic-epic"
"MO" -0.468131868131868 "normal" "endometrial" "epic" "epic" "LM9" "epic-epic"
"NK" 0.186813186813187 "normal" "endometrial" "epic" "epic" "LM9" "epic-epic"
"B.cells" 0.114557670772676 "tumor" "endometrial" "epic" "epic" "LM9" "epic-epic"
"T4.cells" -0.00757278835386338 "tumor" "endometrial" "epic" "epic" "LM9" "epic-epic"
"T8.cells" -0.00753079507278835 "tumor" "endometrial" "epic" "epic" "LM9" "epic-epic"
"DC" -0.000335946248600224 "tumor" "endometrial" "epic" "epic" "LM9" "epic-epic"
"Basophil" 0.0468784994400896 "tumor" "endometrial" "epic" "epic" "LM9" "epic-epic"
"Eosinophil" 0.204885218365062 "tumor" "endometrial" "epic" "epic" "LM9" "epic-epic"
"Neutrophil" 0.288521836506159 "tumor" "endometrial" "epic" "epic" "LM9" "epic-epic"
"MO" 0.0414473684210526 "tumor" "endometrial" "epic" "epic" "LM9" "epic-epic"
"NK" 0.116615341545353 "tumor" "endometrial" "epic" "epic" "LM9" "epic-epic"
"B.cells" -0.429473684210526 "normal" "ccrcc" "epic" "epic" "LM9" "epic-epic"
"T4.cells" -0.156699857752489 "normal" "ccrcc" "epic" "epic" "LM9" "epic-epic"
"T8.cells" -0.160056899004267 "normal" "ccrcc" "epic" "epic" "LM9" "epic-epic"
"DC" -0.175903271692745 "normal" "ccrcc" "epic" "epic" "LM9" "epic-epic"
"Basophil" 0.251009957325747 "normal" "ccrcc" "epic" "epic" "LM9" "epic-epic"
"Eosinophil" -0.221678520625889 "normal" "ccrcc" "epic" "epic" "LM9" "epic-epic"
"Neutrophil" -0.230810810810811 "normal" "ccrcc" "epic" "epic" "LM9" "epic-epic"
"MO" -0.239061166429587 "normal" "ccrcc" "epic" "epic" "LM9" "epic-epic"
"NK" -0.311692745376956 "normal" "ccrcc" "epic" "epic" "LM9" "epic-epic"
"B.cells" 0.0256294659964385 "tumor" "ccrcc" "epic" "epic" "LM9" "epic-epic"
"T4.cells" 0.0353222279827784 "tumor" "ccrcc" "epic" "epic" "LM9" "epic-epic"
"T8.cells" 0.108067533755607 "tumor" "ccrcc" "epic" "epic" "LM9" "epic-epic"
"DC" 0.327160020738002 "tumor" "ccrcc" "epic" "epic" "LM9" "epic-epic"
"Basophil" 0.096625566350337 "tumor" "ccrcc" "epic" "epic" "LM9" "epic-epic"
"Eosinophil" -0.18218335099069 "tumor" "ccrcc" "epic" "epic" "LM9" "epic-epic"
"Neutrophil" 0.0784662894754638 "tumor" "ccrcc" "epic" "epic" "LM9" "epic-epic"
"MO" 0.143349187385885 "tumor" "ccrcc" "epic" "epic" "LM9" "epic-epic"
"NK" 0.354308770822532 "tumor" "ccrcc" "epic" "epic" "LM9" "epic-epic"
